nombre,unidad_consumo,stock_inicial,costo_promedio,es_perecedero,stock_minimo,codigo_barras
Café Grano Arábica 1kg,g,5000,0.12,true,1000,
Leche Entera 1L,ml,20000,0.00035,true,5000,
Leche Soja 1L,ml,5000,0.00080,true,1000,
Leche Avena 1L,ml,3000,0.00090,true,1000,
Azúcar Refinada 1kg,g,10000,0.00012,false,2000,
Azúcar Morena 1kg,g,2000,0.00015,false,500,
Agua Purificada 20L,ml,40000,0.00005,false,10000,
Esencia Vainilla 100ml,ml,200,0.50,false,50,
Esencia Caramelo 100ml,ml,150,0.55,false,50,
Esencia Avellana 100ml,ml,100,0.60,false,50,
Cacao en Polvo 1kg,g,3000,0.00080,false,500,
Canela en Polvo 500g,g,500,0.00200,false,100,
Vasos 12oz Cartón,unidad,500,1.50,false,100,
Vasos 16oz Cartón,unidad,300,1.80,false,100,
Tapas 12oz,unidad,500,0.80,false,100,
Tapas 16oz,unidad,300,0.90,false,100,
Pajillas Papel,unidad,1000,0.20,false,200,
Servilletas Paquete 100,unidad,50,5.00,false,10,
Bolsas Papel Kraft,unidad,200,2.50,false,50,
