producto,precioventa,unidad_venta,sku,categoria,porcentaje_iva,fuente_insumo
Hamburguesa Clásica,180.00,UN,HAM-01,Comida,15,catalogo
Gaseosa 500ml,35.00,UN,BEB-01,Bebidas,15,catalogo
Papas Fritas Medianas,75.00,UN,PAP-01,Acompañamientos,15,
Tacos de Res,140.00,ORDEN,TAC-01,Comida,15,catalogo
Pollo Asado Entero,380.00,UN,PLC-02,Comida,15,catalogo
Pizza Personal,150.00,UN,PIZ-01,Comida,15,
Hot Dog Especial,120.00,UN,HOT-02,Comida,15,catalogo
Nachos Supremos,165.00,UN,NAC-01,Acompañamientos,15,catalogo
Ensalada César,135.00,UN,ENS-01,Acompañamientos,15,
Arroz con Pollo,180.00,ORDEN,ARR-01,Platos Fuertes,15,catalogo
Cerveza Fría,50.00,UN,BEB-04,Bebidas,15,catalogo
Café Americano,60.00,UN,CAF-01,Bebidas,0,
Jugo Natural Naranja,45.00,UN,JUG-01,Bebidas,0,catalogo
Batido de Fresa,95.00,UN,BAT-01,Bebidas,0,
Flan de Caramelo,70.00,UN,POS-01,Postres,15,catalogo
Helado con Galleta,80.00,UN,POS-02,Postres,15,catalogo
Pizza Familiar,320.00,UN,PIZ-02,Comida,15,
Agua Embotellada 600ml,25.00,UN,BEB-03,Bebidas,15,catalogo
Cheeseburger,190.00,UN,HAM-03,Comida,15,catalogo
Capuchino,85.00,UN,CAF-02,Bebidas,0,
,150.00,UN,INV-01,Comida,15,
Bebida Invalida,-15.00,UN,INV-02,Bebidas,15,
Plato Invalido,N/A,UN,INV-03,Comida,15,
Combo Invalido,,UN,INV-04,Comida,15,
Postre Invalido,12.5.5,UN,INV-05,Postres,15,
